#Name	Einwohner	Fläche	Land
Berlin	3520031	891.68	Berlin

München	1450381	310.7	Bayern
Magdeburg	235723	201	Sachsen-Anhalt
Bergisch-Gladbach	111366	83.09	Nordrhein-Westfalen
Essen	582624	210.34	Nordrhein-Westfalen
Bonn	318809	141.06	Nordrhein-Westfalen
Moers	104529	67.68	Nordrhein-Westfalen
Ulm	122636	118.69	Baden-Württemberg
Hamm	179397	226.43	Nordrhein-Westfalen
Hannover	532163	204.15	Niedersachsen
Reutlingen	114310	87.06	Baden-Württemberg
Kassel	197984	106.78	Hessen
Hildesheim	Hildesheim	101667	92.18	Niedersachsen
Nürnberg	509975	186.38	Bayern
Erlangen	108336	76.95
Neuss	155414	99.52	Nordrhein-Westfalen
Oldenburg	163830	102.99	Niedersachsen
Stuttgart	623738	207.35	Baden-Württemberg


Augsburg	286374	146.84	Bayern
Freiburg	226393	153.06	Baden-Württemberg
Erfurt	210118	269.88	Baden-Württemberg
Erfurt	210118	269.88	Thüringen
Halle	236991	135.02	Sachsen-Anhalt
Mannheim	305780	144.96	Baden-Württemberg
Siegen	102355	114.69	Nordrhein-Westfalen
Paderborn	148126	179.6	Nordrhein-Westfalen
Paderborn	148126	179.6	Nordrhein-Westfalen
Frankfurt/Main	732688	248.31	Hessen
Chemnitz	248645	220.86	Sachsen
Salzgitter	101079	223.92	Niedersachsen
Fürth	124171	63.35	Bayern
Regensburg	145465	80.7	Bayern
Potsdam	167745	188.25	Brandenburg
Offenbach	123734	44.89	Hessen
Heilbronn	122567	99.88	Baden-Württemberg
Darmstadt	155353	122.09	Hessen
Pforzheim	122247	98	Baden-Württemberg
Karlsruhe	307755	173.46	Baden-Württemberg
Münster	310039
303.28	Nordrhein-Westfalen
Leipzig	560472	297.39	Sachsen
Osnabrück   162403  119.79  Niedersachsen
Bremer­haven	114025	93.82	Bremen
Trier	114914	117.13	Rheinland-Pfalz
